tag	description	achieved	valid_in
ACH_PASS	Make a pass	0	fr,co
ACH_TOUCHDOWN1	Score a touchdown	0	fr,co
ACH_TOUCHDOWN3	Score 3 touchdowns in a game	0	fr,co
ACH_TOUCHDOWN5	Score 5 touchdowns in a game	0	fr,co
ACH_FIELDGOAL	Score a field goal	0	fr,co
ACH_FIELDGOAL25	Score a 25 yard field goal	0	fr,co
ACH_FIELDGOAL50	Score a 50 yard field goal	0	fr,co
ACH_FIELDGOAL60	Score a 60 yard field goal	0	fr,co
ACH_POINTAFTER1	Score a 1 point conversion	0	fr,co
ACH_POINTAFTER2	Score a 2 point conversion	0	fr,co
ACH_WIN1	Win a game	0	fr,co
ACH_WIN5	Win 5 games	0	fr,co
ACH_WIN10	Win 10 games	0	fr,co
ACH_WIN25	Win 25 games	0	fr,co
ACH_WIN50	Win 50 games	0	fr,co
ACH_WIN100	Win 100 games	0	fr,co
ACH_SEASON1	Complete a full season	0	fr,co
ACH_SEASON5	Complete 5 full seasons	0	fr,co
ACH_SEASON10	Complete 10 full seasons	0	fr,co
ACH_SEASON20	Complete 20 full seasons	0	fr,co
ACH_DRAFT	Draft a player	0	fr
ACH_FREEAGENT	Sign a free agent	0	fr
ACH_TRADEIN	Trade a player in	0	fr
ACH_TRADEOUT	Trade a player out	0	fr
ACH_CUT	Cut a player	0	fr,co
ACH_WIN_DIVISION	Win a division	0	fr
ACH_WIN_PLAYOFF	Win a play-off game	0	fr
ACH_WIN_AFC	Win the AFC title	0	fr
ACH_WIN_NFC	Win the NFC title	0	fr
ACH_WIN_RETROBOWL1	Win the Retro Bowl	0	fr
ACH_WIN_RETROBOWL3	Win 3 Retro Bowl titles	0	fr
ACH_WIN_RETROBOWL5	Win 5 Retro Bowl titles	0	fr
ACH_WIN_RETROBOWL10	Win 10 Retro Bowl titles	0	fr
ACH_CAREER_TD50	Score 50 career touchdowns	0	fr,co
ACH_CAREER_TD100	Score 100 career touchdowns	0	fr,co
ACH_CAREER_TD250	Score 250 career touchdowns	0	fr,co
ACH_CAREER_TD500	Score 500 career touchdowns	0	fr,co
ACH_UPGRADE_STADIUM	Upgrade your stadium facilities	0	fr,co
ACH_UPGRADE_TRAINING	Upgrade your training facilities	0	fr,co
ACH_UPGRADE_REHAB	Upgrade your rehab facilities	0	fr,co
ACH_MAX_STADIUM	Max out your stadium facilities	0	fr,co
ACH_MAX_TRAINING	Max out your training facilities	0	fr,co
ACH_MAX_REHAB	Max out your rehab facilities	0	fr,co
ACH_WINNING_SEASON	Have a winning season	0	fr,co
ACH_UNBEATEN_SEASON	Perfect regular season	0	fr,co
ACH_OFFENSE5	Build 5 star offense	0	fr,co
