uid	city	state
0	Abilene	TX
1	Acton	MA
2	Acworth	GA
3	Agoura	CA
4	Akron	OH
5	Alabaster	AL
6	Alamo	ND
7	Albany	GA
8	Albany	NY
9	Albany	OR
10	Albemarle	NC
11	Albuquerque	NM
12	Alexandria	LA
13	Alexandria	VA
14	Algona	IA
15	Alhambra	CA
16	Allen	TX
17	Allentown	PA
18	Almyra	AR
19	Alpharetta	GA
20	Alpine	CA
21	Altamonte Springs	FL
22	Altoona	PA
23	Alva	OK
24	Amarillo	TX
25	Ambler	PA
26	Amherst	MA
27	Anaheim	CA
28	Anchorage	AK
29	Andover	MA
30	Ann Arbor	MI
31	Anniston	AL
32	Antioch	CA
33	Apple Valley	MN
34	Appleton	WI
35	Arkadelphia	AR
36	Arlington Heights	IL
37	Arlington	KY
38	Arlington	TX
39	Arlington	VA
40	Arnold	NE
41	Arrowhead	CA
42	Artesia	CA
43	Arvada	CO
44	Asheville	NC
45	Ashland	MS
46	Assaria	KS
47	Atascadero	CA
48	Athens	GA
49	Athens	OH
50	Athens	TX
51	Atlanta	GA
52	Atlantic City	NJ
53	Auburn	AL
54	Auburn	IN
55	Auburn	WA
56	Augusta	GA
57	Aurora	CO
58	Aurora	IL
59	Aurora	OH
60	Austin	TX
61	Avoca	NE
62	Avon Park	FL
63	Avonmore	PA
64	Azalea	OR
65	Bakersfield	CA
66	Baltimore	MD
67	Bamberg	SC
68	Bandon	OR
69	Barbourville	KY
70	Barnesville	VA
71	Barnwell	SC
72	Barrington	IL
73	Barron	WI
74	Bartlett	IL
75	Bath	ME
76	Baton Rouge	LA
77	Bay City	MI
78	Bay City	TX
79	Bayonne	NJ
80	Beachwood	OH
81	Beatrice	NE
82	Beaufort	NC
83	Beaufort	SC
84	Beaumont	TX
85	Beaver Dam	KY
86	Beaver Falls	PA
87	Beaverton	OR
88	Bedford	KY
89	Bedford	MA
90	Bedford	PA
91	Bedford	RI
92	Beech Island	SC
93	Bel Air	MD
94	Belleville	IL
95	Belleville	NJ
96	Bellevue	WA
97	Bellflower	CA
98	Bellingham	WA
99	Belmont	NY
100	Belmont	WI
101	Beltsville	MD
102	Beltsville	DC
103	Ben Hur	TX
104	Bennett	CO
105	Bensalem	PA
106	Bensenville	IL
107	Benton	MS
108	Berkeley	CA
109	Berlin	WI
110	Berryville	VA
111	Bertha	MN
112	Bessemer City	NC
113	Bettendorf	IA
114	Billings	MT
115	Biloxi	MS
116	Binghamton	NY
117	Birmingham	AL
118	Birmingham	IA
119	Blairsville	GA
120	Blakely	GA
121	Blandinsville	IL
122	Bloomington	IL
123	Bloomsburg	PA
124	Blue Diamond	NV
125	Bluefield	WV
126	Bluffton	SC
127	Boardman	OH
128	Bobtown	PA
129	Boca Raton	FL
130	Bogalusa	MS
131	Bohemia	NY
132	Boise	ID
133	Bolivar	MO
134	Bolivar	PA
135	Boston	MA
136	Bothell	WA
137	Boulder	CO
138	Boulder	MT
139	Bound Brook	NJ
140	Bovina	TX
141	Bowerston	OH
142	Bowling Green	KY
143	Boyden	IA
144	Boynton Beach	FL
145	Braddock	PA
146	Bradford	PA
147	Braintree	MA
148	Branford	CT
149	Branson	MO
150	Brashear	TX
151	Brattleboro	VT
152	Brazoria	TX
153	Breckenridge	MO
154	Brentwood	NY
155	Brentwood	TN
156	Bridgeport	CT
157	Bridgeport	NJ
158	Bridgeview	IL
159	Bridgeville	PA
160	Briggsville	WI
161	Brighton	MI
162	Bristol	IN
163	Bristol	VA
164	Broken Arrow	OK
165	Bronx	NY
166	Brook Park	OH
167	Brookfield	WI
168	Brooklyn	NY
169	Broomfield	CO
170	Browning	MT
171	Browns Mills	NJ
172	Brownsville	TX
173	Brownwood	TX
174	Bruceville	IN
175	Brunswick	ME
176	Bryan	TX
177	Buckley	WA
178	Buena Park	CA
179	Buffalo Grove	IL
180	Buffalo	NY
181	Burbank	CA
182	Burlington	CO
183	Burlington	MA
184	Burlington	NC
185	Burnsville	MN
186	Burr Ridge	IL
187	Burton	MI
188	Butler	PA
189	California	CA
190	Cambridge	MD
191	Cambridge	MA
192	Cambridge	MN
193	Camden	NJ
194	Campobello	SC
195	Campti	LA
196	Canistota	SD
197	Cannon Beach	OR
198	Canton	NC
199	Canton	OK
200	Cape Coral	FL
201	Carbondale	IL
202	Carlisle	PA
203	Carlsbad	CA
204	Carmel	IN
205	Carnegie	PA
206	Carroll	IA
207	Carrollton	TX
208	Carthage	IL
209	Cary	NC
210	Cascade	WI
211	Cedar City	UT
212	Cedar Rapids	IA
213	Celina	OH
214	Centennial	CO
215	Center Barnstead	NH
216	Centerburg	OH
217	Centerville	VA
218	Central Valley	CA
219	Centralia	IL
220	Champaign	IL
221	Champlain	NY
222	Chandler	AZ
223	Chandler	IN
224	Chantilly	VA
225	Charleston	IL
226	Charleston	SC
227	Charleston	WV
228	Charlestown	MA
229	Charlotte	NC
230	Charlotte	SC
231	Charlottesville	VA
232	Chattanooga	GA
233	Chattanooga	TN
234	Chehalis	WA
235	Chelmsford	MA
236	Chesapeake	VA
237	Cheshire	CT
238	Chester	VA
239	Cheyenne	WY
240	Chicago	IL
241	Chicago	IN
242	Chico	CA
243	Chisana	AK
244	Christoval	TX
245	Chuathbaluk	AK
246	Chula Vista	CA
247	Cicero	IN
248	Cincinnati	KY
249	Cincinnati	OH
250	Citrus Heights	CA
251	City Of Commerce	CA
252	Clarksburg	WV
253	Clarksville	TN
254	Clearwater	FL
255	Cleveland	OH
256	Clifton	NJ
257	Clifton	TN
258	Clinton	MI
259	Clinton	NC
260	Clinton	OK
261	Clinton	WI
262	Clovis	CA
263	Clovis	NM
264	Clovis	TX
265	Clute	TX
266	Clyde Park	MT
267	Clyde	OH
268	Cocoa	FL
269	Coeur D Alene	ID
270	Cold Spring	NY
271	Coldwater	MS
272	Coldwater	TX
273	College Park	MD
274	College Station	TX
275	Collingswood	NJ
276	Collinsville	IL
277	Colonial Heights	VA
278	Colonie	NY
279	Colorado Springs	CO
280	Columbia	MD
281	Columbia	MO
282	Columbia	SC
283	Columbus	GA
284	Columbus	IN
285	Columbus	OH
286	Concord	CA
287	Concord	MA
288	Concordia	MO
289	Conroe	TX
290	Conway	AR
291	Copperas Cove	TX
292	Coral Gables	FL
293	Coral Springs	FL
294	Corfu	NY
295	Corona	CA
296	Corona	NM
297	Corpus Christi	TX
298	Cortland	NY
299	Costa Mesa	CA
300	Cotulla	TX
301	Covina	CA
302	Craig	MO
303	Crawford	NE
304	Creede	CO
305	Crescent Lake	WI
306	Crivitz	WI
307	Crooksville	OH
308	Cross City	FL
309	Cross Plains	IN
310	Croton On Hudson	NY
311	Crystal Lake	IL
312	Culbertson	NE
313	Culver City	CA
314	Cunningham	TN
315	Cygnet	OH
316	Cypress Gardens	FL
317	Dade City	FL
318	Dallas	TX
319	Daly City	CA
320	Daniel Island	SC
321	Danville	CA
322	Danville	IL
323	Danville	KY
324	Davenport	IA
325	Davenport	NY
326	Davie	FL
327	Davis	CA
328	Dayton	OH
329	Daytona Beach	FL
330	De Witt	AR
331	Decatur	GA
332	Dedham	MA
333	Defiance	OH
334	Dekalb	IL
335	Del Mar	CA
336	Delavan	WI
337	Delaware	OH
338	Delcambre	LA
339	Denton	TX
340	Denver	CO
341	Derry	PA
342	Des Moines	IA
343	Detroit Lakes	MN
344	Detroit	MI
345	Dewitt	MI
346	Dexter	MO
347	Dickinson	TX
348	Dilley	TX
349	Dodgeville	WI
350	Dothan	AL
351	Downers Grove	IL
352	Downey	CA
353	Drumright	OK
354	Dublin	CA
355	Duluth	GA
356	Duluth	MN
357	Dumont	IA
358	Dunellen	NJ
359	Durant	OK
360	Durham	NC
361	Eagan	MN
362	Eagle Bend	MN
363	Eagle	AK
364	Eagleville	PA
365	East Boston	MA
366	East Grand Forks	MN
367	East Hartford	CT
368	East Lansing	MI
369	East Orange	NJ
370	East Saint Louis	IL
371	East Syracuse	NY
372	Eau Claire	WI
373	Eddy	TX
374	Eden Hazelton	ID
375	Edgeley	ND
376	Edgewood	MD
377	Edinburg	VA
378	Edison	NJ
379	Eitzen	MN
380	Ekalaka	MT
381	El Cajon	CA
382	El Centro	CA
383	El Monte	CA
384	El Paso	TX
385	El Segundo	CA
386	El Toro	CA
387	Elba	NE
388	Elberton	GA
389	Elgin	IL
390	Elizabeth	NJ
391	Elizabethtown	KY
392	Elk Grove Village	IL
393	Elk Grove	CA
394	Elkhart	IL
395	Elkhart	IN
396	Ellwood City	PA
397	Elmhurst	IL
398	Elmsford	NJ
399	Elmsford	NY
400	Elsinore	CA
401	Elwood	IL
402	Elyria	OH
403	Endicott	NY
404	Englewood	CO
405	Enid	OK
406	Epping	NH
407	Escondido	CA
408	Etna	CA
409	Eugene	OR
410	Euless	TX
411	Eureka	SD
412	Eva	OK
413	Evansville	IN
414	Everett	WA
415	Fairdale	ND
416	Fairfax	MO
417	Fairfield	CA
418	Fairfield	CT
419	Fairfield	WA
420	Fairhope	AL
421	Fairport	NY
422	Fairview	OH
423	Fanshawe	OK
424	Fargo	ND
425	Farmers Branch	TX
426	Farmingdale	NY
427	Farmington Hills	MI
428	Farmington	CT
429	Farmington	NH
430	Farragut	IA
431	Fayetteville	NC
432	Fernandina Beach	FL
433	Findlay	OH
434	Fish Lake Valley	NV
435	Floral Park	NY
436	Florence	AL
437	Florence	KY
438	Florence	SC
439	Flushing	NY
440	Fontana	CA
441	Fort Ann	NY
442	Fort Collins	CO
443	Fort Lauderdale	FL
444	Fort Myers	FL
445	Fort Pierce	FL
446	Fort Riley	KS
447	Fort Smith	AR
448	Fort Thomas	KY
449	Fort Walton Beach	FL
450	Fort Washington	PA
451	Fort Wayne	IN
452	Fort Worth	TX
453	Fostoria	OH
454	Fox Lake	IL
455	Framingham	MA
456	Frankfort	IL
457	Frankfort	KY
458	Franklin	LA
459	Franklin	ME
460	Franklin	MA
461	Franklin	TN
462	Franklin	VT
463	Franklinton	LA
464	Frederic	WI
465	Frederick	MD
466	Fredericksburg	VA
467	Freeport	IL
468	Freeport	TX
469	Fremont	CA
470	Fremont	OH
471	French Gulch	CA
472	Fresno	CA
473	Fridley	MN
474	Frisco	TX
475	Ft Lauderdale	FL
476	Fullerton	CA
477	Fulton	NY
478	Gadsden	AL
479	Gainesville	FL
480	Gainesville	GA
481	Galvez	LA
482	Garden City	NY
483	Garden Grove	CA
484	Gardena	CA
485	Garfield Heights	OH
486	Garland	TX
487	Gary	IN
488	Gateway	AR
489	Geary	OK
490	Genesee	WI
491	George	WA
492	Georgetown	DE
493	Georgetown	NY
494	Georgetown	OH
495	Georgetown	TX
496	Germantown	MD
497	Gig Harbor	WA
498	Gilbert	AZ
499	Girard	KS
500	Glasco	KS
501	Glen Cove	NY
502	Glendale	AZ
503	Glendale	CA
504	Glenolden	PA
505	Golden Valley	MN
506	Goldfield	IA
507	Goose Creek	NC
508	Goshen	IN
509	Gothenburg	NE
510	Grafton	MA
511	Grambling	LA
512	Grand Forks	ND
513	Grand Island	NE
514	Grand Prairie	TX
515	Grand Rapids	MI
516	Grand Rapids	OH
517	Greeley	CO
518	Green Bay	WI
519	Greenbelt	MD
520	Greensboro	FL
521	Greensboro	NC
522	Greenview	IL
523	Greenville	NC
524	Greenville	SC
525	Greenwood	MS
526	Greenwood	NY
527	Greenwood	SC
528	Grelton	OH
529	Gresham	OR
530	Gulf Shores	AL
531	Gulfport	MS
532	Gypsum	CO
533	Hackett	AR
534	Hagerstown	MD
535	Haines City	FL
536	Haledon	NJ
537	Hamilton	OH
538	Hammonton	NJ
539	Hampstead	MD
540	Hampton	VA
541	Hanford	CA
542	Hanna	IN
543	Hannibal	MO
544	Hanover	MD
545	Hanover	NH
546	Harlingen	TX
547	Harold	KY
548	Harrington	DE
549	Harrisburg	AR
550	Harrisburg	IL
551	Harrisburg	PA
552	Hartford	CT
553	Hartland	ME
554	Hastings	NE
555	Hastings	PA
556	Haughton	LA
557	Havre	MT
558	Hawthorne	CA
559	Hayden Lake	ID
560	Hayward	CA
561	Helena	MT
562	Helper	UT
563	Hempstead	TX
564	Henderson	KY
565	Henderson	NV
566	Henderson	TX
567	Herbertsville	NJ
568	Herndon	MD
569	Herndon	VA
570	Hialeah	FL
571	Hickory Hills	IL
572	Hickory	NC
573	Hicksville	NY
574	High Point	NC
575	High Ridge	MO
576	Hightstown	NJ
577	Hilliard	FL
578	Hillsboro	KY
579	Hillsboro	OR
580	Hingham	MA
581	Hinsdale	IL
582	Holbrook	NE
583	Holladay	UT
584	Holland	MI
585	Hollywood	CA
586	Hollywood	FL
587	Homeland	CA
588	Homestead	PA
589	Honolulu	HI
590	Hope	ID
591	Hopewell Junction	NY
592	Hornick	IA
593	Houston	TX
594	Hudson	WI
595	Hudsonville	MI
596	Hungry Horse	MT
597	Huntingdon	PA
598	Huntington Beach	CA
