token	uid	value
epilogue_city	0	Abilene, TX
epilogue_city	1	Acton, MA
epilogue_city	2	Acworth, GA
epilogue_city	3	Agoura, CA
epilogue_city	4	Akron, OH
epilogue_city	5	Alabaster, AL
epilogue_city	6	Alamo, ND
epilogue_city	7	Albany, GA
epilogue_city	8	Albany, NY
epilogue_city	9	Albany, OR
epilogue_city	10	Albemarle, NC
epilogue_city	11	Albuquerque, NM
epilogue_city	12	Alexandria, LA
epilogue_city	13	Alexandria, VA
epilogue_city	14	Algona, IA
epilogue_city	15	Alhambra, CA
epilogue_city	16	Allen, TX
epilogue_city	17	Allentown, PA
epilogue_city	18	Almyra, AR
epilogue_city	19	Alpharetta, GA
epilogue_city	20	Alpine, CA
epilogue_city	21	Altamonte Springs, FL
epilogue_city	22	Altoona, PA
epilogue_city	23	Alva, OK
epilogue_city	24	Amarillo, TX
epilogue_city	25	Ambler, PA
epilogue_city	26	Amherst, MA
epilogue_city	27	Anaheim, CA
epilogue_city	28	Anchorage, AK
epilogue_city	29	Andover, MA
epilogue_city	30	Ann Arbor, MI
epilogue_city	31	Anniston, AL
epilogue_city	32	Antioch, CA
epilogue_city	33	Apple Valley, MN
epilogue_city	34	Appleton, WI
epilogue_city	35	Arkadelphia, AR
epilogue_city	36	Arlington Heights, IL
epilogue_city	37	Arlington, KY
epilogue_city	38	Arlington, TX
epilogue_city	39	Arlington, VA
epilogue_city	40	Arnold, NE
epilogue_city	41	Arrowhead, CA
epilogue_city	42	Artesia, CA
epilogue_city	43	Arvada, CO
epilogue_city	44	Asheville, NC
epilogue_city	45	Ashland, MS
epilogue_city	46	Assaria, KS
epilogue_city	47	Atascadero, CA
epilogue_city	48	Athens, GA
epilogue_city	49	Athens, OH
epilogue_city	50	Athens, TX
epilogue_city	51	Atlanta, GA
epilogue_city	52	Atlantic City, NJ
epilogue_city	53	Auburn, AL
epilogue_city	54	Auburn, IN
epilogue_city	55	Auburn, WA
epilogue_city	56	Augusta, GA
epilogue_city	57	Aurora, CO
epilogue_city	58	Aurora, IL
epilogue_city	59	Aurora, OH
epilogue_city	60	Austin, TX
epilogue_city	61	Avoca, NE
epilogue_city	62	Avon Park, FL
epilogue_city	63	Avonmore, PA
epilogue_city	64	Azalea, OR
epilogue_city	65	Bakersfield, CA
epilogue_city	66	Baltimore, MD
epilogue_city	67	Bamberg, SC
epilogue_city	68	Bandon, OR
epilogue_city	69	Barbourville, KY
epilogue_city	70	Barnesville, VA
epilogue_city	71	Barnwell, SC
epilogue_city	72	Barrington, IL
epilogue_city	73	Barron, WI
epilogue_city	74	Bartlett, IL
epilogue_city	75	Bath, ME
epilogue_city	76	Baton Rouge, LA
epilogue_city	77	Bay City, MI
epilogue_city	78	Bay City, TX
epilogue_city	79	Bayonne, NJ
epilogue_city	80	Beachwood, OH
epilogue_city	81	Beatrice, NE
epilogue_city	82	Beaufort, NC
epilogue_city	83	Beaufort, SC
epilogue_city	84	Beaumont, TX
epilogue_city	85	Beaver Dam, KY
epilogue_city	86	Beaver Falls, PA
epilogue_city	87	Beaverton, OR
epilogue_city	88	Bedford, KY
epilogue_city	89	Bedford, MA
epilogue_city	90	Bedford, PA
epilogue_city	91	Bedford, RI
epilogue_city	92	Beech Island, SC
epilogue_city	93	Bel Air, MD
epilogue_city	94	Belleville, IL
epilogue_city	95	Belleville, NJ
epilogue_city	96	Bellevue, WA
epilogue_city	97	Bellflower, CA
epilogue_city	98	Bellingham, WA
epilogue_city	99	Belmont, NY
epilogue_city	100	Belmont, WI
epilogue_city	101	Beltsville, MD
epilogue_city	102	Beltsville, DC
epilogue_city	103	Ben Hur, TX
epilogue_city	104	Bennett, CO
epilogue_city	105	Bensalem, PA
epilogue_city	106	Bensenville, IL
epilogue_city	107	Benton, MS
epilogue_city	108	Berkeley, CA
epilogue_city	109	Berlin, WI
epilogue_city	110	Berryville, VA
epilogue_city	111	Bertha, MN
epilogue_city	112	Bessemer City, NC
epilogue_city	113	Bettendorf, IA
epilogue_city	114	Billings, MT
epilogue_city	115	Biloxi, MS
epilogue_city	116	Binghamton, NY
epilogue_city	117	Birmingham, AL
epilogue_city	118	Birmingham, IA
epilogue_city	119	Blairsville, GA
epilogue_city	120	Blakely, GA
epilogue_city	121	Blandinsville, IL
epilogue_city	122	Bloomington, IL
epilogue_city	123	Bloomsburg, PA
epilogue_city	124	Blue Diamond, NV
epilogue_city	125	Bluefield, WV
epilogue_city	126	Bluffton, SC
epilogue_city	127	Boardman, OH
epilogue_city	128	Bobtown, PA
epilogue_city	129	Boca Raton, FL
epilogue_city	130	Bogalusa, MS
epilogue_city	131	Bohemia, NY
epilogue_city	132	Boise, ID
epilogue_city	133	Bolivar, MO
epilogue_city	134	Bolivar, PA
epilogue_city	135	Boston, MA
epilogue_city	136	Bothell, WA
epilogue_city	137	Boulder, CO
epilogue_city	138	Boulder, MT
epilogue_city	139	Bound Brook, NJ
epilogue_city	140	Bovina, TX
epilogue_city	141	Bowerston, OH
epilogue_city	142	Bowling Green, KY
epilogue_city	143	Boyden, IA
epilogue_city	144	Boynton Beach, FL
epilogue_city	145	Braddock, PA
epilogue_city	146	Bradford, PA
epilogue_city	147	Braintree, MA
