uid	Society	Unspecified	HBU	Ivy	Military	Religious	Unknown
0	DUMMY-LINE-NO-HOBBY	1	1	1	1	1	1
1	Acapella Choir	1	1	1	1	1	1
2	Acting	1	1	1	1	1	1
3	Aircraft spotting	1	1	1	2	1	1
4	Amateur dramatics	1	1	1	1	1	1
5	Anime	1	1	1	1	1	1
6	Antiques	1	1	1	1	1	1
7	Archery	1	1	1	2	1	1
8	Art	1	1	1	1	1	1
9	Astrology	1	1	0	1	0	0
10	Astronomy	1	1	1	1	0	0
11	Badminton	1	1	1	1	1	1
12	Basketball	1	1	1	1	1	1
13	Bass guitar	1	1	1	1	1	1
14	Beach volleyball	1	1	1	2	1	1
15	Beekeeping	1	1	1	1	1	1
16	Big band	1	1	1	1	1	1
17	Billiards	1	1	1	1	1	1
18	Bird watching	1	1	1	1	1	1
19	Blacksmithing	1	1	1	1	1	1
20	Bonsai	1	1	1	1	1	1
21	Book collecting	1	1	2	1	1	1
22	Boxing	1	1	1	1	1	1
23	Brazilian jiu-jitsu	1	1	1	1	1	1
24	Breakdancing	1	1	1	1	1	1
25	Broomstick Sports	1	1	1	1	0	0
26	Cabaret	1	1	1	1	1	1
27	Calligraphy	1	1	1	1	1	1
28	Camping	1	1	1	1	1	1
29	Candle making	1	1	1	1	1	1
30	Card games	1	1	1	1	1	1
31	Carpentry	1	1	1	1	1	1
32	Cello	1	1	1	1	1	1
33	Cheerleading	1	1	1	0	0	0
34	Chess	1	1	2	1	1	1
35	Circus Skills	1	1	1	1	1	1
36	Clarinet	1	1	1	1	1	1
37	Climbing	1	1	1	1	1	1
38	Coffee roasting	1	1	1	1	1	1
39	Coin collecting	1	1	1	1	1	1
40	College Libertarians	1	0	1	1	1	0
41	College Radio	1	1	1	1	1	1
42	Comic books	1	1	1	1	1	1
43	Community Outreach	1	1	1	1	1	1
44	Cooking	1	1	1	1	1	1
45	Cosplay	1	1	1	1	1	1
46	Creative writing	1	1	1	1	1	1
47	Crossword puzzles	1	1	2	1	1	1
