uid	Subject	Unspecified	HBU	Ivy	Military	Religious	Unknown
0	Accounting	1	1	1	1	1	1
1	Acting	1	1	1	0	1	0
2	Actuarial Science	1	1	1	1	1	1
3	Advertising	1	1	1	1	1	1
4	Aerospace Eng.	1	1	1	2	1	1
5	African Studies	1	2	1	1	1	1
6	African American St.	1	2	1	1	1	1
7	Agribusiness	1	1	0	1	1	0
8	Agriculture	1	1	0	1	1	0
9	Aircraft Mechanics	1	1	1	2	1	1
10	American Studies	1	1	1	1	1	1
11	Animal Science	1	1	1	1	1	1
12	Animation	1	1	0	1	1	0
13	Anthropology	1	1	1	1	1	1
14	Applied Mathematics	1	1	1	1	1	1
15	Applied Statistics	1	1	1	1	1	1
16	Arab Studies	1	1	1	1	0	0
17	Arabic	1	1	1	1	0	0
18	Archaeology	1	1	1	1	1	1
19	Architecture	1	1	1	1	1	1
20	Art 	1	1	1	1	1	1
21	Art & Design 	1	1	1	1	1	1
22	Art History	1	1	1	1	1	1
23	Asian Studies	1	1	1	1	1	1
24	Astronomy	1	1	1	1	0	0
25	Astrophysics	1	1	1	1	0	0
26	Automated M'facturing	1	1	0	1	1	0
27	Automotive Eng.	1	1	0	1	1	0
28	Aviation	1	1	1	2	1	1
29	Avionics Technology	1	1	1	2	1	1
30	Behavioral Neurosci.	1	1	1	1	1	1
31	Biblical Studies	1	1	1	1	2	1
32	Biochemistry	1	1	1	1	0	0
33	Bioinformatics	1	1	1	1	0	0
34	Biological Eng.	1	1	1	1	0	0
35	Biology	1	1	1	1	0	0
36	Biomedical Eng.	1	1	1	1	0	0
37	Biomedical Ethics	1	1	1	1	0	0
38	Biomolecular Science	1	1	1	1	0	0
39	Biophysics	1	1	1	1	0	0
40	Biotechnology	1	1	1	1	0	0
41	Botany	1	1	1	1	0	0
42	Business	1	1	2	1	1	1
43	Business Admin	1	1	2	1	1	1
44	Business Analytics	1	1	2	1	1	1
45	Business Economics	1	1	2	1	1	1
46	Business Education	1	1	2	1	1	1
47	Business Management 	1	1	2	1	1	1
48	Cellular Biology	1	1	1	1	0	0
49	Ceramics 	1	1	1	1	1	1
50	Chemical Engineering	1	1	1	1	0	0
51	Chemistry	1	1	1	1	0	0
52	Child Development	1	1	0	1	1	0
53	Chinese	1	1	1	1	1	1
54	Chinese Studies	1	1	1	1	1	1
55	Chiropractic	1	1	0	1	1	0
56	Christian Thought	1	1	0	0	2	0
57	Cinema	1	1	0	1	1	0
58	Cinematography	1	1	0	1	1	0
59	Civic Leadership	1	2	0	1	1	0
60	Civil Engineering	1	1	1	1	1	1
61	Classical Archaeology	1	1	1	1	1	1
62	Classical Languages	1	1	1	1	1	1
63	Classical Studies	1	1	1	1	1	1
64	Clinical Lab Science	1	1	1	1	0	0
65	Clothing & Textiles	1	1	0	1	1	0
66	Cognitive Science	1	1	1	1	0	0
67	Commercial Law	1	1	2	1	1	1
68	Communication 	1	1	1	1	1	1
69	Comparative Lit.	1	1	1	1	1	1
70	Composition	1	1	1	0	1	0
71	Computer Engineering	1	1	2	1	1	1
72	Computer Science	1	1	1	1	1	1
73	Conflict Resolution	1	1	1	1	1	1
74	Construction Eng.	1	1	1	1	1	1
75	Construction M'ment	1	1	1	1	1	1
76	Consumer Economics	1	1	1	1	1	1
77	Contemporary Arts	1	1	1	1	1	1
78	Cosmetology	1	1	0	0	0	0
79	Counselling	1	1	1	1	1	1
80	Court Reporting	1	1	1	1	1	1
81	Creative Writing	1	1	1	1	1	1
82	Criminal Justice	1	1	1	1	1	1
83	Criminology	1	1	1	1	1	1
84	Culinary Arts	1	1	0	1	1	0
85	Cultural Studies	1	1	1	1	1	1
86	Czech Literature	1	1	1	1	1	1
87	Dance	1	1	1	0	1	0
88	Data Science 	1	1	1	1	1	1
89	Defence Studies	1	1	1	2	1	1
90	Dentistry	1	1	1	1	1	1
91	Design 	1	1	1	1	1	1
92	Diesel Mechanics	1	1	0	1	1	0
93	Dietetics 	1	1	1	1	1	1
94	Digital Comms	1	1	1	1	1	1
95	Drama	1	1	1	0	1	0
96	Drawing	1	1	1	0	1	0
97	Early Childhood Ed.	1	1	0	1	1	0
98	Early Modern Studies	1	1	1	1	1	1
99	Earth Science 	1	1	1	1	1	1
100	East Asian Studies	1	1	1	1	1	1
101	East European Studies	1	1	1	1	1	1
102	Ecology	1	1	1	1	1	1
103	e-Commerce	1	1	1	1	1	1
104	Economics	1	1	1	1	1	1
105	Education	1	1	1	1	1	1
106	Educational Admin.	1	1	0	1	1	0
107	Electrical Eng.	1	1	1	1	1	1
108	Electronic Eng.	1	1	1	1	1	1
109	Elementary Education	1	1	0	1	1	0
110	Emergency Management	1	1	0	1	1	0
111	Energy Studies 	1	1	1	1	1	1
112	Engineering	1	1	1	1	1	1
113	English Language	1	1	1	1	1	1
114	English Literature	1	1	1	1	1	1
115	Entrepreneurship	1	1	1	1	1	1
116	Environmental Geology	1	1	1	1	1	1
117	Environmental Health	1	1	1	1	1	1
118	Environmental Science	1	1	1	1	1	1
119	Epistemology	1	1	1	1	1	1
120	Ethics	1	1	1	1	1	1
121	Ethnic Studies	1	2	1	1	1	1
122	European Studies	1	1	1	1	1	1
123	Evolutionary Anthrop.	1	1	1	1	0	0
124	Exercise Science 	1	1	0	1	1	0
125	Fashion Design	1	1	0	1	1	0
126	Film, TV & Media	1	1	0	1	1	0
127	Finance	1	1	1	1	1	1
128	Financial Management 	1	1	1	1	1	1
129	Financial Planning 	1	1	1	1	1	1
130	Fine Arts	1	1	1	0	1	0
131	Fire Protection Tech.	1	1	1	1	1	1
132	Fisheries	1	1	0	1	1	0
133	Food & Nutrition	1	1	1	1	1	1
134	Food Science	1	1	1	1	1	1
135	Foreign Languages Ed.	1	1	1	1	1	1
136	Forensic Science	1	1	1	1	1	1
137	Forestry	1	1	0	1	1	0
138	French	1	1	1	1	1	1
139	Gender Studies	1	1	1	1	0	0
140	General Studies	1	1	0	1	1	0
141	Genetics	1	1	1	1	0	0
142	Geography	1	1	1	1	1	1
143	Geology	1	1	1	1	1	1
144	German	1	1	1	1	1	1
145	Gerontology	1	1	1	1	1	1
146	Global Communication	1	1	1	1	1	1
147	Global History	1	1	1	1	1	1
148	Global Media Studies	1	1	1	1	1	1
149	Graphic Design	1	1	1	1	1	1
150	Greek (Ancient)	1	1	1	1	1	1
151	Greek (Modern)	1	1	1	1	1	1
152	Health Education	1	1	1	1	1	1
153	Healthcare Admin	1	1	1	1	1	1
154	History	1	1	1	1	1	1
155	History of Art	1	1	1	1	1	1
156	History of Law	1	1	1	1	1	1
157	History of Medicine	1	1	1	1	1	1
158	History of Philosophy	1	1	1	1	1	1
159	Horticulture	1	1	0	1	1	0
160	Hospitality	1	1	1	1	1	1
161	Human Development	1	1	1	1	0	0
162	Human Nutrition	1	1	1	1	1	1
163	H.R. Management	1	1	1	1	1	1
164	Human Rights	1	1	1	1	1	1
165	Industrial Design	1	1	1	1	1	1
166	Industrial Eng.	1	1	1	1	1	1
167	Inequality Studies	1	2	1	1	0	0
168	Information Science	1	1	1	1	1	1
169	Information Systems 	1	1	1	1	1	1
170	Interdiscipl. Studies	1	1	0	1	1	0
171	Interior Design	1	1	0	1	1	0
172	Intl. Business	1	1	1	1	1	1
173	Intl. Development	1	1	1	1	1	1
174	Intl. Relations	1	1	1	1	0	0
175	International Studies	1	1	1	1	1	1
176	Islamic Studies	1	1	1	1	0	0
177	IT Management	1	1	1	1	1	1
178	Italian	1	1	1	1	1	1
179	Japanese 	1	1	1	1	1	1
180	Journalism	1	1	1	1	1	1
181	Judaic Studies	1	1	1	1	0	0
182	Korean	1	1	1	1	1	1
183	Labor/Ind. Relations	1	1	1	1	1	1
184	Land Surveying	1	1	1	1	1	1
185	Land Use Management	1	1	1	1	1	1
186	Landscape Architec.	1	1	0	1	1	0
187	Latin	1	1	1	1	1	1
188	Latin American St.	1	1	1	1	1	1
189	Law	1	1	1	1	1	1
190	Leadership Studies	1	1	1	1	1	1
191	Legal Studies	1	1	1	1	1	1
192	LGBTQIA+ Studies	1	1	1	1	0	0
193	Liberal Arts	1	1	1	0	1	0
194	Library Science	1	1	1	1	1	1
195	Life Science	1	1	1	1	0	0
196	Linguistics	1	1	1	1	1	1
197	Literature	1	1	1	1	1	1
198	Logistics	1	1	1	2	1	1
199	Management	1	1	1	1	1	1
200	Marine Biology	1	1	1	1	0	0
201	Marine Ecology	1	1	1	1	0	0
202	Marine Science	1	1	1	1	0	0
203	Maritime Eng.	1	1	1	2	1	1
204	Marketing	1	1	1	1	1	1
205	Massage Therapy	1	1	0	0	1	0
206	Materials Science	1	1	1	1	0	0
207	Mathematics	1	1	2	1	1	1
208	MBA	1	1	2	1	1	1
209	Mechanical Eng.	1	1	1	1	1	1
210	Mechatronics	1	1	1	1	1	1
211	Medical Anthropology	1	1	1	1	0	0
212	Medical Imaging	1	1	1	1	0	0
213	Medicine	1	1	1	1	0	0
214	Medieval Studies 	1	1	1	1	1	1
215	Mental Health Couns.	1	1	0	1	1	0
216	Merchandising	1	1	0	1	1	0
217	Metalsmithing 	1	1	0	1	1	0
218	Meteorology	1	1	1	1	1	1
219	Microbiology	1	1	1	1	0	0
220	Middle Eastern Langs	1	1	1	1	1	1
221	Middle Eastern St.	1	1	1	1	1	1
222	Middle Level Ed.	1	1	0	1	1	0
223	Military Technologies	1	1	0	2	0	0
224	Ministry	0	0	0	0	2	0
225	Mod. European Studies	1	1	1	1	1	1
226	Mod. M. East. Studies	1	1	1	1	1	1
