uid	name	conference	division	active	type	time	seed_time	cycle	scheme	cat	city	state	src1	src2	show	pool_cfg	pool	notify	reputation	history_rec	victory_show	reward	editor_group	editor_mode
100	Atlantic A	2	0	0	tb	1	0								std			none		none	none	none		
101	Atlantic C	2	1	0	tb	1	0								std			none		none	none	none		
102	America	3	0	1	tb	1	0								std			none		none	none	none		
103	Conference 12	4	0	1	tb	1	0								std			none		none	none	none		
104	Large X West	5	0	1	tb	1	0								std			none		none	none	none		
105	Large X East	5	1	1	tb	1	0								std			none		none	none	none		
106	United S. East	6	0	1	tb	1	0								std			none		none	none	none		
107	United S. West	6	1	1	tb	1	0								std			none		none	none	none		
108	Independents	7	0	1	tb	1	0								std			none		none	none	none		
109	Midwest East	8	0	1	tb	1	0								std			none		none	none	none		
110	Midwest West	8	1	1	tb	1	0								std			none		none	none	none		
111	Mountain East	9	0	0	tb	1	0								std			none		none	none	none		
112	Mountain West	9	1	0	tb	1	0								std			none		none	none	none		
113	Pacific	10	0	1	tb	1	0								std			none		none	none	none		
// 114	Pacific South	10	1	1	tb	1	0								std			none		none	none	none		
115	E. South East	11	0	1	tb	1	0								std			none		none	none	none		
116	E. South West	11	1	1	tb	1	0								std			none		none	none	none		
117	Sun Sash East	12	0	1	tb	1	0								std			none		none	none	none		
118	Sun Sash West	12	1	1	tb	1	0								std			none		none	none	none		
119	Sol	20	0	0	tb	1	0								std			none		none	none	none		
120	Blue Sky	21	0	1	tb	1	0								std			none		none	none	none		
121	Kind of South	22	0	0	tb	1	0								std			none		none	none	none		
122	Pilgrim	23	0	0	tb	1	0								std			none		none	none	none		
123	Academic	24	0	1	tb	1	0								std			none		none	none	none		
124	Eastern	25	0	1	tb	1	0								std			none		none	none	none		
125	Missouri	26	0	1	tb	1	0								std			none		none	none	none		
126	Northeast	27	0	1	tb	1	0								std			none		none	none	none		
127	Ohio	28	0	0	tb	1	0								std			none		none	none	none		
128	Revolution	29	0	1	tb	1	0								std			none		none	none	none		
129	Homestead	30	0	1	tb	1	0								std			none		none	none	none		
130	South	31	0	1	tb	1	0								std			none		none	none	none		
131	South-Southwest	32	0	1	tb	1	0								std			none		none	none	none		
132	Southwest East	33	0	1	tb	1	0								std			none		none	none	none		
133	Southwest West	33	1	1	tb	1	0								std			none		none	none	none		
134	Western	34	0	0	tb	1	0								std			none		none	none	none		
135	Mountain	13	0	1	tb	1	0								std			none		none	none	none		
136	Littoral	35	0	1	tb	1	0								std			none		none	none	none		
137	Big Valley	36	0	1	tb	1	0								std			none		none	none	none		
138	Unified	37	0	1	tb	1	0								std			none		none	none	none		
139	Independents	38	0	1	tb	1	0								std			none		none	none	none		
140	Atlantic	14	0	1	tb	1	0								std			none		none	none	none		
1000	Major Championship			1	gm	21	19	1,3		f	Inglewood	CA	tm:c_win:1003	tm:c_win:1005	std			cv_wl		h_champ	v_gold	cc35	misc	ed:finals:1
1001	Lilac Bowl			1	gm	20	17	1,3		b	Pasadena	CA	tm:pbowl:5	tm:pbowl:10	std			cv_wl	w	h_bowl	v_bronze	cc20	new_year_bowls	ed:bowls
