year	week	away_team	home_team	away_score	home_score
1	1	38	57	-1	-1
1	1	39	79	-1	-1
1	1	49	36	-1	-1
1	1	50	107	-1	-1
1	1	51	128	-1	-1
1	1	53	41	-1	-1
1	1	54	43	-1	-1
1	1	67	88	-1	-1
1	1	68	130	-1	-1
1	1	73	146	-1	-1
1	1	75	34	-1	-1
1	1	78	46	-1	-1
1	1	83	37	-1	-1
1	1	84	63	-1	-1
1	1	90	115	-1	-1
1	1	94	35	-1	-1
1	1	96	44	-1	-1
1	1	100	64	-1	-1
1	1	104	76	-1	-1
1	1	105	124	-1	-1
1	1	110	32	-1	-1
1	1	112	137	-1	-1
1	1	118	127	-1	-1
1	1	120	108	-1	-1
1	1	123	85	-1	-1
1	1	140	142	-1	-1
1	1	141	133	-1	-1
1	1	144	98	-1	-1
1	1	145	86	-1	-1
1	1	147	45	-1	-1
1	1	149	91	-1	-1
1	1	151	154	-1	-1
1	1	152	56	-1	-1
1	1	153	114	-1	-1
1	1	155	82	-1	-1
1	1	157	103	-1	-1
1	1	158	131	-1	-1
1	1	159	52	-1	-1
1	1	160	99	-1	-1
1	1	162	89	-1	-1
1	1	163	92	-1	-1
1	1	165	33	-1	-1
1	1	166	61	-1	-1
1	1	168	167	-1	-1
1	1	170	122	-1	-1
1	1	171	182	-1	-1
1	1	173	289	-1	-1
1	1	174	121	-1	-1
1	1	175	132	-1	-1
1	1	177	126	-1	-1
1	1	179	58	-1	-1
1	1	181	101	-1	-1
1	1	183	246	-1	-1
1	1	184	262	-1	-1
1	1	186	185	-1	-1
1	1	187	40	-1	-1
1	1	188	290	-1	-1
1	1	189	135	-1	-1
1	1	190	287	-1	-1
1	1	191	226	-1	-1
1	1	192	202	-1	-1
1	1	195	225	-1	-1
1	1	197	244	-1	-1
1	1	198	264	-1	-1
1	1	199	196	-1	-1
1	1	203	237	-1	-1
1	1	204	238	-1	-1
1	1	206	250	-1	-1
1	1	207	42	-1	-1
1	1	209	178	-1	-1
1	1	210	143	-1	-1
1	1	211	148	-1	-1
1	1	214	233	-1	-1
1	1	215	176	-1	-1
1	1	216	109	-1	-1
1	1	218	69	-1	-1
1	1	219	252	-1	-1
1	1	220	60	-1	-1
1	1	221	111	-1	-1
1	1	222	269	-1	-1
1	1	223	102	-1	-1
1	1	224	70	-1	-1
1	1	227	138	-1	-1
1	1	228	292	-1	-1
1	1	231	245	-1	-1
1	1	232	205	-1	-1
1	1	235	72	-1	-1
1	1	236	48	-1	-1
1	1	239	80	-1	-1
1	1	240	230	-1	-1
1	1	242	93	-1	-1
1	1	243	106	-1	-1
1	1	247	81	-1	-1
1	1	248	74	-1	-1
1	1	249	136	-1	-1
1	1	251	150	-1	-1
1	1	253	55	-1	-1
1	1	260	282	-1	-1
1	1	261	47	-1	-1
1	1	265	129	-1	-1
1	1	267	277	-1	-1
1	1	268	95	-1	-1
1	1	271	241	-1	-1
1	1	273	139	-1	-1
1	1	274	156	-1	-1
1	1	275	117	-1	-1
1	1	276	272	-1	-1
1	1	278	258	-1	-1
1	1	280	234	-1	-1
1	1	281	164	-1	-1
1	1	283	229	-1	-1
1	1	284	212	-1	-1
1	1	285	257	-1	-1
1	1	286	193	-1	-1
1	1	288	119	-1	-1
1	1	291	116	-1	-1
1	2	40	59	-1	-1
1	2	42	110	-1	-1
1	2	44	145	-1	-1
1	2	49	79	-1	-1
1	2	52	158	-1	-1
1	2	54	33	-1	-1
1	2	57	46	-1	-1
1	2	58	66	-1	-1
1	2	60	77	-1	-1
1	2	63	43	-1	-1
1	2	64	39	-1	-1
