	name	tla	home_helmet	home_logo	home_shirt	home_sleeve	home_pants	home_stripe	home_socks1	home_socks2	away_helmet	away_logo	away_shirt	away_sleeve	away_pants	away_stripe	away_socks1	away_socks2	alt_helmet	alt_logo	alt_shirt	alt_sleeve	alt_pants	alt_stripe	alt_socks1	alt_socks2	rush_helmet	rush_logo	rush_shirt	rush_sleeve	rush_pants	rush_stripe	rush_socks1	rush_socks2	roof	rainfall	snowfall	endzone
32	Boston C.	B.C	$ffd700	$ffd700	$cc0000	$cc0000	$ffd700	$cc0000	$cc0000	$dfdfdf	$ffd700	$ffd700	$ffffff	$ffffff	$ffd700	$800000	$ffffff	$ffffff	$ffd700	$ffd700	$ffffff	$ffffff	$ffffff	$cc0000	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	40	89	$E7BF18
33	Clemson	CLM	$ffa800	$ffffff	$ffa800	$ffa800	$ffffff	$ffffff	$ffffff	$ffffff	$ffa800	$ffffff	$ffffff	$ffffff	$ffa800	$ffffff	$ffffff	$ffffff	$ffa800	$ffffff	$0000c0	$ffa800	$ffa800	$0000c0	$0000c0	$0000c0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$E79018
34	Durham	DUR	$6666ff	$6666ff	$6666ff	$6666ff	$6666ff	$cccccc	$6666ff	$6666ff	$ffffff	$6666ff	$ffffff	$ffffff	$ffffff	$6666ff	$dfdfdf	$dfdfdf	$000000	$6666ff	$000000	$6666ff	$000000	$6666ff	$000000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$4E4EE7
35	Florida S.	FLS	$ffd700	$990000	$990000	$ffd700	$ffd700	$ffd700	$990000	$ffd700	$ffd700	$990000	$ffffff	$990000	$ffd700	$ffd700	$990000	$dfdfdf	$ffd700	$990000	$000000	$000000	$ffd700	$ffd700	$990000	$333333	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	50	0	$E7BF18
36	Georgia T.	GAT	$ffd700	$ffd700	$ffd700	$ffd700	$ffffff	$000000	$000000	$000000	$dfdfdf	$ffd700	$ffffff	$ffffff	$dfdfdf	$ffd700	$ffffff	$ffffff	$fffdd0	$000442	$000442	$000442	$000442	$000442	$000442	$fffdd0	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	51	1	$E7BF18
37	Louisville	LOU	$ffffff	$999900	$999900	$999900	$ffffff	$ffffff	$999900	$000000	$000000	$000000	$ffffff	$ffffff	$000000	$000000	$000000	$000000	$999900	$ffffff	$999900	$999900	$999900	$999900	$999900	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	0	0	$818118
38	Miami F.	MIF	$ffffff	$ffa800	$ffa800	$000000	$ffffff	$000000	$ffa800	$dfdfdf	$ffffff	$ffa800	$ffffff	$000000	$ffa800	$000000	$ffa800	$dfdfdf	$ffffff	$ffa800	$000000	$ffa800	$ffffff	$000000	$ffa800	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	59	0	$E79018
39	N.C. S.	NCS	$ffffff	$660000	$660000	$660000	$ffffff	$ffffff	$660000	$dfdfdf	$660000	$000000	$ffffff	$ffffff	$660000	$660000	$dfdfdf	$660000	$660000	$000000	$000000	$ffffff	$000000	$000000	$000000	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$4E1818
40	N.C.	N.C	$0099cc	$ffffff	$0099cc	$0099cc	$0099cc	$ffffff	$0099cc	$0099cc	$0099cc	$ffffff	$ffffff	$0099cc	$0099cc	$ffffff	$0099cc	$dfdfdf	$000000	$0099cc	$ffffff	$ffffff	$ffffff	$0099cc	$dfdfdf	$dfdfdf	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	44	2	$1881B4
41	Pittsburgh	PIT	$ffff00	$990099	$990099	$990099	$ffff00	$990099	$ffff00	$ffff00	$ffff00	$990099	$ffff00	$ffff00	$dfdfdf	$990099	$ffff00	$ffff00	$ffff00	$990099	$000000	$000000	$ffff00	$000000	$dfdfdf	$000000	$000442	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$fffdd0	$000442	0	38	27	$E7E718
